Restaurant Name,URL,Restaurant Stars,No. Of Reviews,Categories,# Of Categories,Price,Reviewer Name,Review Stars,Date Of Review,Review,Review Length,Reviewer Location,LocationB,Useful,Funny,Cool
Howl at the Moon Milwaukee,https://www.yelp.com/biz/howl-at-the-moon-milwaukee-milwaukee-2?osq=Bars,3.5,3,"Music Venues, Venues & Event Spaces, Bars",3,,Kim H.,5,4/21/2022,"I love a good piano bar and the soft opening didn't disappoint. My company is in the deer district so we got the VIP invitation. We got to try some of their fun bucket drinks, appetizers, and hear electrifying music. My fav was the cherry limeade drink. The sex on the moon drink was also a group fav. They brought singers in from their other locations and it was awesome! They take recommendations from the crowd and did a great job executing and involving the audience. We were celebrating one of our coworkers hitting a milestone and they announced it and got him on stage! If you're looking for a place for a group, just a few friends or a date night, this is a solid option. The location is phenomenal and in the heart of the deer district. I can't imagine there will be a weekend night this place will not be packed.",154,"Milwaukee, WI",1,0,0,0
Howl at the Moon Milwaukee,https://www.yelp.com/biz/howl-at-the-moon-milwaukee-milwaukee-2?osq=Bars,3.5,3,"Music Venues, Venues & Event Spaces, Bars",3,,Apurba B.,5,4/21/2022,"Such an invigorating opening night at howl at the moon! My friend Siena had an extra invite for the soft opening night for Howl at the Moon and I am so glad I got to attend the event. The atmosphere was electric, everyone was in such a fun mood. The idea of the dueling pianos is awesome and definitely a new thing for Milwaukee. The catered food was delicious and the cocktails were yummy (loved the pink drink!).100% recommend!",79,"West Allis, WI",0,2,1,1
Howl at the Moon Milwaukee,https://www.yelp.com/biz/howl-at-the-moon-milwaukee-milwaukee-2?osq=Bars,3.5,3,"Music Venues, Venues & Event Spaces, Bars",3,,Todd H.,1,05/06/2022,"Wow, what a disappointing night. Place was fairly packed, so maybe more a me issue here, but the dual piano/band was so bad. Every song is a full band production now. What happened to a dual piano song? I haven't been since Covid hit, now just a loud crappy band college bar. Everyone in our group and the table next to us just laughed at the band. Service is very good, coming around every few minutes.",76,"Bristol, WI",0,1,0,0
The Tin Widow,https://www.yelp.com/biz/the-tin-widow-milwaukee-2?osq=Bars,4.5,65,"Whiskey Bars, Cocktail Bars",2,2,Stephanie C.,5,5/20/2022,"Easily one of my favorite places in Milwaukee! The drinks are absolutely fantastic, especially their gin drinks. The whole place has such a cozy and cool vibe to it. Love all the knickknacks and artwork on the walls. It can fill up quickly on weekends, but it's worth the wait. Weeknights are super nice because it's very mellow. Love the couch and chairs in the back! The lighting, ambiance, noise level, and overall atmosphere is perfect for just relaxing with a drink (or two!) and some friends. Will be going back over and over again!",95,"Milwaukee, WI",1,1,0,0
The Tin Widow,https://www.yelp.com/biz/the-tin-widow-milwaukee-2?osq=Bars,4.5,65,"Whiskey Bars, Cocktail Bars",2,2,Jennifer M.,5,10/31/2021,"We stopped here last night for a few drinks. I am super glad we stopped here on a whim. The group that we were with was also super complementary of this place as well. We all we're saying it's a cool place to go to and how we want to go back. The drinks were really good. I admit that I am not a drink expert but I do know that I like to taste the alcohol in my drinks and not have it be watered down. You can tell they clearly know what they are doing with their drinks and have a real science behind them. This isn't just any old bartender throwing together cocktails. The ambience was awesome. The people there were totally chill and there was no feeling of pretentiousness which I appreciated. Everybody in my group would appreciate it. If you want to feel a little swanky, you can roll with that vibe. But if you want to come in feeling chill, with no makeup and your hair in a pony, wearing your every day clothes, that too works as well. I really appreciate that vibe. I can't recall the prices but I definitely didn't think they were extreme or out of line. We will be going back. Completely happy we stopped here and thanking a friend for the recommendation.",224,"Mequon, WI",0,0,0,1
The Tin Widow,https://www.yelp.com/biz/the-tin-widow-milwaukee-2?osq=Bars,4.5,65,"Whiskey Bars, Cocktail Bars",2,2,Elizabeth B.,5,8/23/2021,This bar is seriously the cutest bar! My husband had an Old Fashioned that he described as the best he has had. I had some hard to find sour beers. The bartenders were really nice! Truly a treasure!,38,"Milwaukee, WI",1,0,0,0
The Tin Widow,https://www.yelp.com/biz/the-tin-widow-milwaukee-2?osq=Bars,4.5,65,"Whiskey Bars, Cocktail Bars",2,2,James M.,4,03/09/2022,"Gorgeous pub wonderfully tasteful decor.. warm and welcoming atmosphere. Been a couple of times and both times it's been great. First time we only had drinks but we've tried their food on other occasions. Fab drinks selection, wonderful homemade food.  I'll definitely go back, the staff was efficient and polite. Convenient for a few beers when in town and want to try something new if you haven't been prior.",69,"Milwaukee, WI",1,1,0,1
The Tin Widow,https://www.yelp.com/biz/the-tin-widow-milwaukee-2?osq=Bars,4.5,65,"Whiskey Bars, Cocktail Bars",2,2,Ophelia M.,5,5/14/2020,"The Tin Widow is hands down my favorite cocktail bar in all of Milwaukee.Frankly, it's one of my favorite cocktail bars anywhere.Why?It's not one thing, really. It's a combination of all the things: Bartenders who not only know their spirits and can mix a perfectly rendered classic cocktail but who are also always warm and welcoming, a cozy atmosphere that puts one immediately at one's ease, and, of course, the multitude of whiskey and gin options.It's the total package.During these safer-at-home times, the Tin Widow has quickly pivoted to begin providing classic cocktail kits for at-home mixing. We've happily purchased a couple of their whiskey Old Fashioned kits (some of the best Old Fashioned cocktails around, friends) as well as a martini kit (perfection). They've even arranged to have a food truck there pretty regularly (Milk Can Hamburgers & Frozen Custard) so you can pick up some burgers (so good!), grab a cocktail kit, and be on your way to enjoy a delicious evening at home. My heart is filled with such gratitude for this business and everyone affiliated with it. I look forward to regular trips to grab a cocktail kit to go until we're able to enjoy a Widow Manhattan in house once again.Thanks for being the best of the very best.",214,"Milwaukee, WI",1,31,6,31
The Tin Widow,https://www.yelp.com/biz/the-tin-widow-milwaukee-2?osq=Bars,4.5,65,"Whiskey Bars, Cocktail Bars",2,2,Amy K.,5,04/07/2020,"If you are in the Walker's Point area, or really just in Milwaukee, you should go to Tin Widow! A unique bar unlike any other I have been to before! The amount of spirits that they have in this bar is simply amazing. I found myself taking pictures like crazy since I couldn't believe the bottles they had available! Even better, is the bar staff. I was there early on a Friday night with a group of 6, and we were the only ones in the bar other than another couple. We were slightly overwhelmed by the options, but the bartender was SO GOOD! She asked what we liked, and recommended options that were both on the cocktail menu, and options that she could make or modify to suit our tastes. What we thought would be a one-drink stop, turned into a 4 hour evening at the corner of the bar, enjoying the cozy atmosphere, great service, and delicious drinks.Fun Fact: the owl lamp doesn't have a name, I asked!",170,"Milwaukee, WI",1,6,2,6
The Tin Widow,https://www.yelp.com/biz/the-tin-widow-milwaukee-2?osq=Bars,4.5,65,"Whiskey Bars, Cocktail Bars",2,2,Alisa S.,5,02/10/2020,"As soon as I was introduced to the Tin Widow, I could see why it rose to the top of my list--the intimately cozy yet classy feel paired with the offerings of deliciously crafted cocktails make for a nice night out.It you're a lover of cocktails I highly suggest you check our this place:-there's a rotating cocktail list which offers something for everyone -their old fashioned is delish and serves as a solid choice if you're feeling indecisive -what's not to love about a place that does a holiday pop-up-great window seats for all the people watching-cozy vibe with interesting decor-casual yet elevated -dimly lit with candles-knowledgeable bartenders-wide selection-bar seating, table seating, and even cozy couches in the back",119,"Milwaukee, WI",1,5,1,12
